-a,suffix
a,symbol
a+,abbr
à,letter prep
â,letter
a-,prefix
à bas,adv
à base de,adv
a beau mentir qui vient de loin,proverb
à bientôt,int
à blanc (page does not exist),
undefined,
à bon chat, bon rat,proverb
à bon entendeur salut,int
à bord,adj
à bord de (page does not exist),
à bouche que veux-tu,adv
à bout,
à bout de forces,adj
à bout de souffle (page does not exist),
à bout portant,adv
à bras le corps (page does not exist),
à bras-le-corps,adv
à bras ouverts,adv
à brûle-pourpoint,adv
à califourchon,adv
a cappella,
à cause de,prep
à cet effet,adv
à cette heure,
à chacun son goût,
à chaque jour suffit sa peine,proverb
à cheval,adv
à cheval donné, on ne regarde pas la bouche (page does not exist),
à cheval donné on ne regarde pas la bride (page does not exist),
à cheval donné, on ne regarde pas la denture (page does not exist),
à cheval donné on ne regarde pas les dents (page does not exist),
à cloche-pied,adv
a commercial (page does not exist),
à condition que,phrase
à contrecœur,adv
à contre-courant,adv
à contresens (page does not exist),
à côté,prep
à côté de,prep
à côté de la plaque (page does not exist),
à court (page does not exist),
à court terme,adj
à cru (page does not exist),
à demi-mot,adv
à dessein (page does not exist),
à deux balles,adj
à deux doigts,adv
à deux pas,phrase
à Dieu ne plaise,int
à dire vrai (page does not exist),
à distance (page does not exist),
à double tranchant,adj
à droite,adv
à fleur de (page does not exist),
à fleur de corde (page does not exist),
à fleur de peau (page does not exist),
à flot,adj
à foison (page does not exist),
à fond,adv
à force (page does not exist),
à force de,phrase
à gauche,adv
à gogo,adv
à grand-peine,adv
à grand renfort (page does not exist),
à haute voix (page does not exist),
à huis clos,phrase
à jamais (page does not exist),
à jour,adj
à juste titre,adv
à la,phrase
à la banane (page does not exist),
à l'abandon,adj
à la base (page does not exist),
à la bonne heure,adv
à l'abordage,int
à l'abri (page does not exist),
à l'abri de (page does not exist),
à la cantonade,adv
à la carte,adv
à la clé,adv
à la condition que (page does not exist),
à la coque,adj
à la dérive (page does not exist),
à la dérobée,adv
à la descente (page does not exist),
à la différence de,conj
à la fin (page does not exist),
à la fleur de l’âge (page does not exist),
à la florentine (page does not exist),
à la fois,adv
à la force du poignet (page does not exist),
à la gomme (page does not exist),
à l'agonie (page does not exist),
à la grecque,adv
à la guerre comme à la guerre,proverb
à la hâte,adj
à l'aide,
à l’aide (page does not exist),
à l'aise,adv
à la lettre (page does not exist),
à la limite (page does not exist),
à la louche (page does not exist),
à la lumière de,prep
à la main,adv
à la maison,adv
à la merci de,
à la mode,adj
à l'ancienne,adj
à la noix (page does not exist),
à la noix de coco (page does not exist),
à l'antenne (page does not exist),
à la page,adj
à la peau fine (page does not exist),
à la pige,adj adv
à la place de,prep
à la pointe,adj
à la portée (page does not exist),
à la prochaine,
à la queue leu leu,adv
à la radio (page does not exist),
à la rigueur (page does not exist),
à l'arrache,adv
à la Saint Glinglin (page does not exist),
à la Saint-Glinglin,adv
à la suite,
à la suite de,prep
à la tâche,adv
à la tienne,
à l'attention de (page does not exist),
à la une,adj
à la vanille (page does not exist),
à l’aveugle (page does not exist),
à l’aveuglette (page does not exist),
à la virgule près,adv
à la vôtre,
à l'écart,adv
à l'égal de,conj
à l'égard de (page does not exist),
à l'encontre de,prep
à l'endroit (page does not exist),
à l'entour,adv
à l'envers (page does not exist),
à l'envi,adv
à l’équerre (page does not exist),
à l'étranger,
à l'exception de,phrase
à l'exclusion de (page does not exist),
à l'extérieur,adv
à l'heure,adv adj
à l'horizon (page does not exist),
à l'improviste,adv
à l'infini,adv
à l'instar de,adv
à l'insu de,prep
à l’insu de,
à l'intérieur,adv
à l'occasion,adv
à l'ombre (page does not exist),
à long terme,adj
à longueur de temps (page does not exist),
à l'oreille,adv
à louer,adj
à lunettes (page does not exist),
à méchant ouvrier, point de bon outil (page does not exist),
à mesure que,conj
à mi-chemin,adv
à mi-parcours (page does not exist),
à mi-voix,adv
à moins que,conj
à mon avis (page does not exist),
à mort,
à n décimales près (page does not exist),
à nouveau,adv
A. O.,init
à outrance,adv
