AA,
Aachen,proper
Aal,n
Aalartige (page does not exist),
aalen,v
aalglatt,adj
Aalhaut,
Aalmolch,n
Aalmutter,n
Aam,n
Aa machen,v
Aangström (page does not exist),
a.a.O.,abbr
Aar,n
Aarau,
Aare,proper
Aargau,proper
Aarmühle,proper
Aaron,proper
Aaronisch (page does not exist),
Aaronsstab (page does not exist),
Aas,n
Aase,
Aasen,n
aasen,v
Aasfliege,n
Aasfresser,n
Aasvogel,n
Aayden,proper
AB,abbr
ab,prep
ab-,prefix
Abaca (page does not exist),
Abaddon,
Abaka,n
Abakist (page does not exist),
Abakus,n
abalienieren,v
Abalone,n
abänderbar,adj
abändern,v
Abänderung,n
abandonnieren,v
abarbeiten,v
Abart,n
Abasie,n
Abbas,
Abbau,n
abbaubar,adj
Abbaue,n
Abbauen,n
abbauen,v
abbauend,v
abbeißen,v
abbekommen,v
abberufen,v
abbestellen,v
abbezahlen,v
abbiegen,v
Abbild,n
abbilden,v
Abbildung,n
abbinden,v
Abbitte,n
Abbitten,n
Abblaseventil,
abblättern,v
abblenden,v
Abblendlicht,n
abblocken,v
abbrechen,v
abbrennen,v
abbringen,
Abbruch,n
abbuchen,v
Abbuchung (page does not exist),
ABC-Buch (page does not exist),
Abchase (page does not exist),
Abchasien,proper
Abchasin (page does not exist),
Abchasisch,proper
abchasisch,adj
abdampfen (page does not exist),
abdämpfen (page does not exist),
abdanken,v
Abdankung,n
abdecken,v
Abdecker,n
Abdeckerei (page does not exist),
Abdeckplatte,n
Abdeckstift (page does not exist),
Abdeckung,
Abdomen,n
abdominal,
abdrehen,v
Abdruck,n
abdrucken (page does not exist),
Abdschad (page does not exist),
Abduktion,n
Abduktor,n
Abdul,
Abdulla,
Abecedar (page does not exist),
Abecedarium,n
Abel,
Abelianer (page does not exist),
Abelianerin (page does not exist),
Abelit (page does not exist),
Abelitin (page does not exist),
Abelmoschus,
abelsch (page does not exist),
abelsche Gruppe (page does not exist),
Abenaki,
Abenakisch (page does not exist),
Abend,n
Abendanzug (page does not exist),
Abendbrot,n
Abenddämmerung,n
Abendessen,n
